Make,Model,Price,Miles,AgeYearsOld,Space,Color,State
Chevrolet,Impala,20995,24826,4,More Room,Silver,MN
Chevrolet,Malibu,9992,111206,7,Less Room,Tan,WI
Chevrolet,Impala,3995,180000,12,More Room,Black,MN
Chevrolet,Impala,25992,11520,1,More Room,,MN
Chevrolet,Malibu,8988,87000,7,Less Room,Silver,WI
Honda,Civic,5290,185105,11,Less Room,Gray,IA
Chevrolet,Impala,18500,62766,5,More Room,Gray,IA
Chevrolet,Impala,11395,45304,5,More Room,Gray,IA
Toyota,Camry,12995,69639,4,More Room,Black,IA
Chevrolet,Impala,1800,175222,15,More Room,Gold,MN
Chevrolet,Malibu,4000,183430,11,Less Room,Silver,IA
Honda,Accord,3990,137786,19,More Room,Red,IA
Toyota,Camry,18999,37625,4,More Room,Blue,MN
Honda,Civic,13250,50075,4,Less Room,Black,WI
Honda,Accord,14699,41663,5,More Room,Gray,MN
Chevrolet,Impala,3800,212726,9,More Room,Blue,MN
Chevrolet,Malibu,13900,35000,4,Less Room,Silver,IA
Honda,Civic,5995,132000,11,Less Room,Black,MN
Chevrolet,Impala,6299,90115,12,More Room,Blue,WI
Chevrolet,Malibu,1695,219836,16,Less Room,Gray,WI
Chevrolet,Impala,1895,180403,16,More Room,White,MN
Honda,Accord,14795,27070,5,More Room,Tan,MN
Chevrolet,Impala,20988,17300,1,More Room,Blue,WI
Honda,Civic,2400,165721,17,Less Room,White,MN
Chevrolet,Malibu,8888,100321,7,Less Room,White,MN
Chevrolet,Malibu,15995,40354,3,Less Room,Silver,MN
Toyota,Camry,2390,290943,18,More Room,Black,MN
Chevrolet,Malibu,15945,26073,4,Less Room,Bronze,WI
Honda,Civic,16990,15120,3,Less Room,Black,MN
Chevrolet,Malibu,15495,24360,4,Less Room,Red,MN
Toyota,Camry,17599,11652,4,More Room,Silver,MN
Chevrolet,Malibu,12999,75424,4,Less Room,,IA
Toyota,Camry,18921,27335,4,More Room,White,WI
Chevrolet,Malibu,4995,127278,13,Less Room,White,MN
Chevrolet,Impala,15995,66449,5,More Room,Tan,IA
Chevrolet,Malibu,6175,127885,11,Less Room,,IA
Chevrolet,Impala,16637,43868,5,More Room,Red,MN
Chevrolet,Impala,5995,98193,11,More Room,Gray,IA
Toyota,Camry,6900,121891,10,More Room,Blue,MN
Chevrolet,Impala,11000,65739,5,More Room,Black,IA
Chevrolet,Malibu,15995,23969,3,Less Room,Silver,MN
Chevrolet,Malibu,7750,89627,9,Less Room,Gray,MN
Chevrolet,Impala,5995,179474,8,More Room,Black,IA
Chevrolet,Impala,16949,47911,5,More Room,Blue,MN
Toyota,Corolla,15599,30085,4,Less Room,Black,MN
Chevrolet,Impala,18990,39399,4,More Room,Pearl,IA
Honda,Accord,19699,33071,4,More Room,Green,MN
Chevrolet,Malibu,6894,152172,8,Less Room,Blue,MN
Honda,Civic,1995,170087,16,Less Room,Silver,MN
Honda,Civic,8799,93177,9,Less Room,,MN
Toyota,Camry,7995,96179,8,More Room,Blue,IA
Chevrolet,Impala,12995,46670,6,More Room,Maroon,MN
Chevrolet,Malibu,16998,22891,4,Less Room,Brown,IA
Chevrolet,Impala,8500,102467,6,More Room,Black,IA
Chevrolet,Impala,6490,136693,7,More Room,,MN
Chevrolet,Malibu,13479,57602,3,Less Room,Red,IA
Toyota,Corolla,5688,161118,10,Less Room,Gold,MN
Chevrolet,Malibu,4995,134963,12,Less Room,Blue,MN
Honda,Accord,18486,20319,4,More Room,Silver,MN
Chevrolet,Impala,3500,182440,12,More Room,Black,MN
Toyota,Corolla,3990,221642,10,Less Room,Black,MN
Chevrolet,Impala,16995,44488,5,More Room,Red,MN
Honda,Accord,22495,12333,2,More Room,Red,MN
